GLOBAL ID	Series unindented	Description	Base period	Sources	Long description	Series type
EOSQ035	Organized crime, 1-7 (best)	In your country, to what extent does organized crime (mafia-oriented racketeering, extortion) impose costs on businesses? [1 = to a great extent; 7 = not at all]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ055	Reliability of police services, 1-7 (best)	In your country, to what extent can police services be relied upon to enforce law and order? [1 = cannot be relied upon at all; 7 = can be completely relied upon]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ153	Ethical behavior of firms, 1-7 (best)	In your country, how would you rate the corporate ethics of companies (ethical behavior in interactions with public officials, politicians, and other firms)? [1 = extremely poor—among the worst in the world; 7 = excellent—among the best in the world]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ097	Strength of auditing and reporting standards, 1-7 (best)	In your country, how strong are financial auditing and reporting standards? [1 = extremely weak; 7 = extremely strong]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ127	Efficacy of corporate boards, 1-7 (best)	In your country, how would you characterize corporate governance by investors and boards of directors? [1 = management has little accountability to investors and boards; 7 = management is highly accountable to investors and boards]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ098	Protection of minority shareholders’ interests, 1-7 (best)	In your country, to what extent are the interests of minority shareholders protected by the legal system? [1 = not protected at all; 7 = fully protected]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
INVESTPROIDX	Strength of investor protection, 0–10 (best)*	Strength of Investor Protection Index on a 0–10 (best) scale	2013	World Bank/International Finance Corporation, [i]Doing Business 2014: Understanding Regulations for Small and Medium-Size Enterprises[i]	This variable is a combination of the Extent of disclosure index (transparency of transactions), the Extent of director liability index (liability for self-dealing), and the Ease of shareholder suit index (shareholders’ ability to sue officers and directors for misconduct). For more details about the methodology employed and the assumptions made to compute this indicator, visit http://www.doingbusiness.org/methodologysurveys/.	Indicator
EOSQ056	Quality of overall infrastructure, 1-7 (best)	How would you assess general infrastructure (e.g., transport, telephony, and energy) in your country? [1 = extremely underdeveloped—among the worst in the world; 7 = extensive and efficient—among the best in the world]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ057	Quality of roads, 1-7 (best)	In your country, how would you assess the quality of roads? [1 = extremely underdeveloped—among the worst in the world; 7 = extensive and efficient—among the best in the world]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQrailroad	Quality of railroad infrastructure, 1-7 (best)	In your country, how would you assess the quality of the railroad system? [1 = extremely underdeveloped—among the worst in the world; 7 = extensive and efficient—among the best in the world]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].  [D6]NOTE: [i]N/Appl.[i] is used for economies where there is no regular train service or where the network covers only a negligible portion of the territory. Assessment of the existence of a network was conducted by the World Economic Forum based on various sources.	  	Indicator
EOSQ353	Quality of port infrastructure, 1-7 (best)	In your country, how would you assess the quality of seaports? (For landlocked countries: How accessible are seaport facilities?) [1 = extremely underdeveloped—among the worst in the world; 7 = extensive and efficient—among the best in the world]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ061	Quality of air transport infrastructure, 1-7 (best)	In your country, how would you assess the quality of air transport infrastructure? [1 = extremely underdeveloped—among the worst in the world; 7 = extensive and efficient—among the best in the world]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
AIRSEATKM	Available airline seat km/week, millions*	Airline seat kilometers (in millions) available on all flights (domestic and international service) originating in country per week (year average)	2014	International Air Transport Association, SRS Analyser	This indicator measures the total passenger-carrying capacity of all scheduled flights, including domestic flights, originating in a country. It is computed by multiplying the number of seats available on each flight by the flight distance in kilometers and summing the result across all scheduled flights in a week. The final value represents the weekly average for the year (Jan–Dec), taking into account flights scheduled beforehand by airline companies.	Indicator
EOSQ064	Quality of electricity supply, 1-7 (best)	In your country, how would you assess the reliability of the electricity supply (lack of interruptions and lack of voltage fluctuations)? [1 = not reliable at all; 7 = extremely reliable]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
MOBSUBPC	Mobile telephone subscriptions/100 pop.*	Number of mobile telephone subscriptions per 100 population	2013	International Telecommunication Union, [i]ITU World Telecommunication/ICT Indicators Database 2014[i] (June 2014 edition)	A [i]mobile telephone subscription[i] refers to a subscription to a public mobile telephone service that provides access to the public switched telephone network (PSTN) using cellular technology, including the number of pre-paid SIM cards active during the last three months of the year under review. This includes both analog and digital cellular systems (IMT-2000, Third Generation, 3G) and 4G subscriptions, but excludes mobile broadband subscriptions via data cards or USB modems. Subscriptions to public mobile data services, private trunked mobile radio, telepoint or radio paging, and telemetry services are also excluded. It includes all mobile cellular subscriptions that offer voice communications.	Indicator
FIXEDTELPC	Fixed telephone lines/100 pop.*	Number of active fixed telephone lines per 100 population	2013	International Telecommunication Union, [i]ITU World Telecommunication/ICT Indicators Database 2014[i] (June 2014 edition)	A [i]fixed telephone line[i] is an active line connecting the subscriber's terminal equipment to the public switched telephone network (PSTN) that has a dedicated port in the telephone exchange equipment. Active lines are those that have registered an activity in the last three months of the year under review.	Indicator
GOVBALGDP	Government budget balance, % GDP*	General government budget balance as a percentage of GDP	2013	International Monetary Fund, [i]World Economic Outlook Database[i] (April 2014 edition); national sources	General government budget balance is calculated as general government revenue minus total expenditure. This is a core Government Finance Statistics (GFS) balance that measures the extent to which the general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents. Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases a government's net worth, which is the difference between its assets and liabilities. General government total expenditure consists of total expenses and the net acquisition of nonfinancial assets.	Indicator
GNSGDP	Gross national savings, % GDP*	Gross national savings as a percentage of GDP	2013	International Monetary Fund, [i]World Economic Outlook Database[i] (April 2014 edition); World Bank, [i]At-a-Glance Table[i]; Organisation for Economic Co-operation and Development (OECD), [i]Economic Outlook 2014[i]; national sources	[i]Aggregate national savings[i] is defined as public- and private-sector savings as a percentage of nominal GDP. National savings equals gross domestic investment plus the current-account balance.	Indicator
INFLAYRAVG	Inflation, annual % change*	Annual percent change in consumer price index (year average)	2013	International Monetary Fund, [i]World Economic Outlook Database[i] (April 2014 edition); national sources [D6]NOTE: For inflation rates between 0.5 and 2.9 percent, a country receives the highest possible score of 7. Outside this range, scores decrease linearly as they move away from these values.	  	Indicator
GOVDEBTGDP	General government debt, % GDP*	Gross general government debt as a percentage of GDP	2013	International Monetary Fund, [i]World Economic Outlook Database[i] (April 2014 edition) and [i]Public Information Notices[i] (various issues); African Development Bank, Organisation for Economic Co-operation and Development (OECD), and United Nations Development Programme, [i]African Economic Outlook 2014[i]; national sources.	[i]Gross debt[i] consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of special drawing rights, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the [i]Government Finance Statistics Manual (GFSM) 2001[i] system are debt, except for equity and investment fund shares, financial derivatives, and employee stock options. For Australia, Belgium, Canada, Hong Kong SAR, Iceland, New Zealand, and Sweden, government debt coverage also includes insurance technical reserves, following the GFSM 2001 definition.	Indicator
CCRATING	Country credit rating, 0–100 (best)*	Institutional Investor's Country Credit Ratings™ assessing the probability of sovereign debt default on a 0–100 (lowest probability) scale	March 2014	Institutional Investor’s “Country Credit Ratings” is a trademark of Institutional Investor, LLC. No further copying or transmission of this material is allowed without the express written permission of Institutional Investor publisher@institutionalinvestor.com. Copyright © Institutional Investor, LLC 2014	[i]Institutional Investor[i]'s Country Credit Ratings™ developed by Institutional Investor are based on information provided by senior economists and sovereign-debt analysts at leading global banks and money management and security firms. Twice a year, the respondents grade each country on a scale of 0 to 100, with 100 representing the least chance of default.	Indicator
EOSQ168	Business impact of malaria, 1-7 (best)	How serious an impact do you consider malaria will have on your company in the next five years (e.g., death, disability, medical and funeral expenses, productivity and absenteeism, recruitment and training expenses, revenues)? [1 = a serious impact; 7 = no impact at all]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i]. [D6]NOTE: [i]N/Appl.[i] is used for economies considered free of malaria or included in the World Health Organization’s supplementary list of areas where malaria has never existed or has disappeared without specific measures.	  	Indicator
MALARIAPC	Malaria cases/100,000 pop.*	Estimated number of malaria cases per 100,000 population	2012	The World Health Organization, [i]World Malaria Report 2013[i]; United States Centers for Disease Control and Prevention (CDC), Malaria Information and Prophylaxis information (accessed July 11, 2014). [D6]NOTE: [i]M.F.[i] indicates that the economy was declared free of malaria by the World Health Organization (WHO), except in the case of Hong Kong SAR and Puerto Rico, for which malaria assessment by CDC was used. [i]S.L.[i] means the economy was added to the WHO's supplementary list of areas where malaria has never existed or has disappeared without specific measures.	  	Indicator
EOSQ169	Business impact of tuberculosis, 1-7 (best)	How serious an impact do you consider tuberculosis will have on your company in the next five years (e.g., death, disability, medical and funeral expenses, productivity and absenteeism, recruitment and training expenses, revenues)? [1 = a serious impact; 7 = no impact at all]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
TBPC	Tuberculosis cases/100,000 pop.*	Estimated number of tuberculosis cases per 100,000 population	2013	The World Bank, [i]World Development Indicators[i] (accessed June 18, 2014); national sources	Incidence of tuberculosis is the estimated number of new pulmonary, smear positive, and extra-pulmonary tuberculosis cases.	Indicator
EOSQ170	Business impact of HIV/AIDS, 1-7 (best)	How serious an impact do you consider HIV/AIDS will have on your company in the next five years (e.g., death, disability, medical and funeral expenses, productivity and absenteeism, recruitment and training expenses, revenues)? [1 = a serious impact; 7 = no impact at all]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
HIVPREV	HIV prevalence, % adult pop.*	HIV prevalence as a percentage of adults aged 15–49 years	2013	The World Bank, [i]World Development Indicators[i] (accessed June 18, 2014); UNAIDS, [i]Global Report on the Global AIDS Epidemic[i] (2008, 2010, 2012, and 2013 editions); national sources [D6]NOTE: Economies with a prevalence rate equal to or less than 0.2 percent are all ranked first and listed alphabetically.	[i]HIV prevalence[i] refers to the percentage of people aged 15–49 who are infected with HIV at a particular point in time, no matter when infection occurred.	Indicator
INFANTMORTPC	Infant mortality, deaths/1,000 live births*	Infant (children aged 0–12 months) mortality per 1,000 live births	2013	The World Bank, [i]World Development Indicators[i] (accessed June 18, 2014); national sources	[i]Infant mortality rate[i] is the number of infants dying before reaching one year of age per 1,000 live births in a given year.	Indicator
LIFEEXPECT	Life expectancy, years*	Life expectancy at birth (years)	2013	The World Bank, [i]World Development Indicators[i] (accessed June 18, 2014); national sources	[i]Life expectancy at birth[i] indicates the number of years a newborn infant would live if prevailing patterns of mortality at the time of its birth were to stay the same throughout its life.	Indicator
EOSQ129	Quality of primary education, 1-7 (best)	In your country, how would you assess the quality of primary schools? [1 = extremely poor—among the worst in the world; 7 = excellent—among the best in the world]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
ENROL1NET	Primary education enrollment, net %*	Net primary education enrollment rate	2012	UNESCO Institute for Statistics, [i]Data Centre[i] (accessed May 21, 2014); Organisation for Economic Co-operation and Development (OECD), [i]Education at a Glance 2013[i]; Sistema de Información de tendencias Educativas de América Latina (SITEAL); national sources	The reported value corresponds to the ratio of children of official primary school age (as defined by the national education system) who are enrolled in primary school. Primary education (ISCED level 1) provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music. 	Indicator
ENROL2GR	Secondary education enrollment, gross %*	Gross secondary education enrollment rate	2012	UNESCO Institute for Statistics, [i]Data Centre[i] (accessed May 21, 2014); UNICEF Childinfo.org (accessed August 07, 2014); Sistema de Información de tendencias Educativas de América Latina (SITEAL); national sources	The reported value corresponds to the ratio of total secondary enrollment, regardless of age, to the population of the age group that officially corresponds to the secondary education level. Secondary education (ISCED levels 2 and 3) completes the provision of basic education that began at the primary level, and aims to lay the foundations for lifelong learning and human development by offering more subject- or skills-oriented instruction using more specialized teachers.	Indicator
ENROL3GR	Tertiary education enrollment, gross %*	Gross tertiary education enrollment rate	2012	UNESCO Institute for Statistics, [i]Data Centre[i] (accessed May 21, 2014); national sources 	The reported value corresponds to the ratio of total tertiary enrollment, regardless of age, to the population of the age group that officially corresponds to the tertiary education level. Tertiary education (ISCED levels 5 and 6), whether or not leading to an advanced research qualification, normally requires, as a minimum condition of admission, the successful completion of education at the secondary level.	Indicator
EOSQ128	Quality of the education system, 1-7 (best)	How well does the education system in your country meet the needs of a competitive economy? [1 = not well at all; 7 = extremely well]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ130	Quality of math and science education, 1-7 (best)	In your country, how would you assess the quality of math and science education? [1 = extremely poor—among the worst in the world; 7 = excellent—among the best in the world]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ131	Quality of management schools, 1-7 (best)	In your country, how would you assess the quality of business schools? [1 = extremely poor—among the worst in the world; 7 = excellent—among the best in the world]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ084	Internet access in schools, 1-7 (best)	In your country, how widespread is Internet access in schools? [1 = nonexistent; 7 = extremely widespread]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ113	Availability of research and training services, 1-7 (best)	In your country, to what extent are high-quality, specialized training services available? [1 = not available at all; 7 = widely available]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ139	Extent of staff training, 1-7 (best)	In your country, to what extent do companies invest in training and employee development? [1 = not at all; 7 = to a great extent]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ099	Intensity of local competition, 1-7 (best)	In your country, how intense is competition in the local markets? [1 = not intense at all; 7 = extremely intense]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ105	Extent of market dominance, 1-7 (best)	In your country, how would you characterize corporate activity? [1 = dominated by a few business groups; 7 = spread among many firms]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ104	Effectiveness of anti-monopoly policy, 1-7 (best)	In your country, to what extent does anti-monopoly policy promote competition? [1 = does not promote competition; 7 = effectively promotes competition]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ398	Effect of taxation on incentives to invest, 1-7 (best)	In your country, to what extent do taxes reduce the incentive to invest? [1 = significantly reduce the incentive to invest; 7 = do not reduce the incentive to invest at all]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
CORPTAXRATE	Total tax rate, % profits*	This variable is a combination of profit tax (% of profits), labor tax and contribution (% of profits), and other taxes (% of profits)	2013	World Bank/International Finance Corporation, [i]Doing Business 2014: Understanding Regulations for Small and Medium-Size Enterprises[i]	The total tax rate measures the amount of taxes and mandatory contributions payable by a business in the second year of operation, expressed as a share of commercial profits. The total amount of taxes is the sum of five different types of taxes and contributions payable after accounting for deductions and exemptions: profit or corporate income tax, social ontributions and labor taxes paid by the employer, property taxes, turnover taxes, and other small taxes. For more details about the methodology employed and the assumptions made to compute this indicator, please visit http://www.doingbusiness.org/methodologysurveys/.	Indicator
STARTBUSPROC	No. procedures to start a business*	Number of procedures required to start a business	2013	World Bank/International Finance Corporation, [i]Doing Business 2014: Understanding Regulations for Small and Medium-Size Enterprises[i]	For details about the methodology employed and the assumptions made to compute this indicator, visit http://www.doingbusiness.org/methodologysurveys/.	Indicator
STARTBUSDAYS	No. days to start a business*	Number of days required to start a business	2013	World Bank/International Finance Corporation, [i]Doing Business 2014: Understanding Regulations for Small and Medium-Size Enterprises[i]	For details about the methodology employed and the assumptions made to compute this indicator, visit http://www.doingbusiness.org/ methodologysurveys/.	Indicator
EOSQ046	Agricultural policy costs, 1-7 (best)	In your country, how would you assess the agricultural policy? [1 = excessively burdensome for the economy; 7 = balances well the interests of taxpayers, consumers and producers]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ096	Prevalence of trade barriers, 1-7 (best)	In your country, to what extent do non-tariff barriers (e.g., health and product standards, technical and labeling requirements, etc.) limit the ability of imported goods to compete in the domestic market? [1 = strongly limit; 7 = do not limit at all]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
TFDUTY	Trade tariffs, % duty*	Trade-weighted average tariff rate	2013	International Trade Centre	This indicator is calculated as a weighted average of all the applied tariff rates, including preferential rates that a country applies to the rest of the world. The weights are the trade patterns of the importing country's reference group (2011 data). An applied tariff is a customs duty that is levied on imports of merchandise goods.  	Indicator
EOSQ094	Prevalence of foreign ownership, 1-7 (best)	In your country, how prevalent is foreign ownership of companies? [1 = extremely rare; 7 = highly prevalent]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ095	Business impact of rules on FDI, 1-7 (best)	In your country, to what extent do rules and regulations encourage or discourage foreign direct investment (FDI)? [1 = strongly discourage fdi; 7 = strongly encourage fdi]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ050	Burden of customs procedures, 1-7 (best)	In your country, how efficient are the customs procedures (related to the entry and exit of merchandise)? [1 = not efficient at all; 7 = extremely efficient]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
IMPGDP	Imports as a percentage of GDP*	Imports of goods and services as a percentage of gross domestic product	2013	World Trade Organization, [i]Statistical Database: Time Series on Merchandise and Commercial Services[i] (accessed July 02, 2014); International Monetary Fund, [i]World Economic Outlook Database[i] (April 2014 edition); national sources	Total imports is the sum of total imports of merchandise and commercial services.	Indicator
EOSQ122	Degree of customer orientation, 1-7 (best)	In your country, how well do companies treat customers? [1 = indifferent to customer satisfaction; 7 = highly responsive to customers and seek customer retention]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ100	Buyer sophistication, 1-7 (best)	In your country, how do buyers make purchasing decisions? [1 = based solely on the lowest price; 7 = based on a sophisticated analysis of performance attributes]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ135	Cooperation in labor-employer relations, 1-7 (best)	In your country, how would you characterize labor-employer relations? [1 = generally confrontational; 7 = generally cooperative]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ136	Flexibility of wage determination, 1-7 (best)	In your country, how are wages generally set? [1 = by a centralized bargaining process; 7 = by each individual company]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ134	Hiring and firing practices, 1-7 (best)	In your country, how would you characterize the hiring and firing of workers? [1 = heavily impeded by regulations; 7 = extremely flexible]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
REDUNCOST	Redundancy costs, weeks of salary*	Redundancy costs in weeks of salary	2013	World Bank/International Finance Corporation, [i]Doing Business 2014: Understanding Regulations for Small and Medium-Size Enterprises[i]; World Economic Forum's calculations	This variable estimates the cost of advance notice requirements, severance payments, and penalties due when terminating a redundant worker, expressed in weekly wages. For more details about the methodology employed and the assumptions made to compute this indicator, visit http://www.doingbusiness.org/methodologysurveys/.	Indicator
EOSQ397	Effect of taxation on incentives to work, 1-7 (best)	In your country, to what extent do taxes reduce the incentive to work? [1 = significantly reduce the incentive to work; 7 = do not reduce incentive to work at all]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ137	Pay and productivity, 1-7 (best)	In your country, to what extent is pay related to worker productivity? [1 = not related to worker productivity; 7 = strongly related to worker productivity]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ126	Reliance on professional management, 1-7 (best)	In your country, who holds senior management positions? [1 = usually relatives or friends without regard to merit; 7 = mostly professional managers chosen for merit and qualifications]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ399	Country capacity to retain talent, 1-7 (best)	Does your country retain talented people? [1 = the best and brightest leave to pursue opportunities in other countries; 7 = the best and brightest stay and pursue opportunities in the country]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
EOSQ400	Country capacity to attract talent, 1-7 (best)	Does your country attract talented people from abroad? [1 = not at all; 7 = attracts the best and brightest from around the world]	2013–14 weighted average	World Economic Forum, Executive Opinion Survey. For more details, refer to Chapter 1.3 of this [i]Report[i].	  	Indicator
FEMLABOR	Women in labor force, ratio to men*	Ratio of women to men in the labor force* 	2012	International Labour Organization, [i]Key Indicators of the Labour Markets, 8th Edition[i]; national sources	This measure is the percentage of women aged 15–64 participating in the labor force divided by the percentage of men aged 15–64 participating in the labor force.	Indicator
