id	code	notes	description	units	scale	source	countryNotes	
13	TX period VAL period TECH period CD	High minus sign technology exports are products with high R ampersands D intensity such as in aerospace computers pharmaceuticals scientific instruments and electrical machinery period Data are in current U period S period dollars period 	High minus sign technology exports opening round bracket current US dollar sign closing round bracket 	unknown	unknown	United Nations Comtrade database period 	unknown	
14	GCI period A period 01 period 01 period 05	unknown	5 period Security	unknown	Aggregate 	World Economic Forum comma opening curly bracket i closing square bracket The Global Competitiveness Report 2013 minus sign 2014 opening curly bracket i closing square bracket 	unknown	
15	SH period XPD period TOTL period ZS	Total health expenditure is the sum of public and private health expenditure period It covers the provision of health services opening round bracket preventive and curative closing round bracket family planning activities nutrition activities and emergency aid designated for health but does not include provision of water and sanitation period 	Health expenditure total opening round bracket percent sign of GDP closing round bracket 	unknown	unknown	World Health Organization Global Health Expenditure database opening round bracket see http colon slash slash apps period who period int slash nha slash database for the most recent updates closing round bracket period 	unknown	
16	AG period LND period ARBL period HA period PC	Arable land opening round bracket hectares per person closing round bracket includes land defined by the FAO as land under temporary crops opening round bracket double minus sign cropped areas are counted once closing round bracket temporary meadows for mowing or for pasture land under market or kitchen gardens and land temporarily fallow period Land abandoned as a result of shifting cultivation is excluded period 	Arable land opening round bracket hectares per person closing round bracket 	unknown	unknown	Food and Agriculture Organization electronic files and web site period 	unknown	
17	EOSQ122	unknown	Degree of customer orientation comma 1 minus sign 7 opening round bracket best closing round bracket 	In your country comma how well do companies treat customers question mark opening curly bracket 1 equals sign indifferent to customer satisfaction semicolon 7 equals sign highly responsive to customers and seek customer retention closing square bracket 	Indicator 	World Economic Forum comma Executive Opinion Survey period For more details comma refer to Chapter 1 period 3 of this opening curly bracket i closing square bracket Report opening curly bracket i closing square bracket period 	unknown	
18	DT period NTR period DECT period CD	Net transfers on external debt are net flows minus interest payments during the year semicolon negative transfers show net transfers made by the borrower to the creditor during the year period Data are in current U period S period dollars period 	Net transfers on external debt total opening round bracket NTR current US dollar sign closing round bracket 	unknown	unknown	World Bank International Debt Statistics period 	unknown	
19	EG period ELC period HYRO period ZS	Sources of electricity refer to the inputs used to generate electricity period Hydropower refers to electricity produced by hydroelectric power plants period 	Electricity production from hydroelectric sources opening round bracket percent sign of total closing round bracket 	unknown	unknown	IEA Statistics OECD slash IEA 2014 opening round bracket http colon slash slash www period iea period org slash stats slash index period asp closing round bracket subject to https colon slash slash www period iea period org slash t ampersands c slash termsandconditions slash 	unknown	
20	SL period IND period EMPL period MA period ZS	Employees are people who work for a public or private employer and receive remuneration in wages salary commission tips piece rates or pay in kind period Industry corresponds to divisions 2 minus sign 5 opening round bracket ISIC revision 2 closing round bracket or tabulation categories C minus sign F opening round bracket ISIC revision 3 closing round bracket and includes mining and quarrying opening round bracket including oil production closing round bracket manufacturing construction and public utilities opening round bracket electricity gas and water closing round bracket period 	Employment in industry male opening round bracket percent sign of male employment closing round bracket 	unknown	unknown	International Labour Organization Key Indicators of the Labour Market database period 	unknown	
21	SP period RUR period TOTL period ZS	Rural population refers to people living in rural areas as defined by national statistical offices period It is calculated as the difference between total population and urban population period 	Rural population opening round bracket percent sign of total population closing round bracket 	unknown	unknown	World Bank Staff estimates based on United Nations World Urbanization Prospects period 	unknown	
22	DT period CUR period FFRC period ZS	The percentage of external long minus sign term public and publicly minus sign guaranteed debt contracted in French francs for the low minus sign and middle minus sign income countries period 	Currency composition of PPG debt French franc opening round bracket percent sign closing round bracket 	unknown	unknown	World Bank International Debt Statistics period 	unknown	
23	DT period IXR period OFFT period CD	Interest rescheduled is the amount of interest due or in arrears that was rescheduled in any given year period Debt from official creditors includes loans from international organizations opening round bracket multilateral loans closing round bracket and loans from governments opening round bracket bilateral loans closing round bracket period Loans from international organizations include loans and credits from the World Bank regional development banks and other multilateral and intergovernmental agencies period Excluded are loans from funds administered by an international organization on behalf of a single donor government semicolon these are classified as loans from governments period Government loans include loans from governments and their agencies opening round bracket including central banks closing round bracket loans from autonomous bodies and direct loans from official export credit agencies period Data are in current U period S period dollars period 	Interest rescheduled official opening round bracket current US dollar sign closing round bracket 	unknown	unknown	World Bank International Debt Statistics period 	unknown	
24	SL period TLF period 0714 period ZS	Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey period 	Children in employment total opening round bracket percent sign of children ages 7 minus sign 14 closing round bracket 	unknown	unknown	Understanding Children quotation mark s Work project based on data from ILO UNICEF and the World Bank period 	unknown	
25	EOSQ398	unknown	Effect of taxation on incentives to invest comma 1 minus sign 7 opening round bracket best closing round bracket 	In your country comma to what extent do taxes reduce the incentive to invest question mark opening curly bracket 1 equals sign significantly reduce the incentive to invest semicolon 7 equals sign do not reduce the incentive to invest at all closing square bracket 	Indicator 	World Economic Forum comma Executive Opinion Survey period For more details comma refer to Chapter 1 period 3 of this opening curly bracket i closing square bracket Report opening curly bracket i closing square bracket period 	unknown	
26	AG period PRD period LVSK period XD	Livestock production index includes meat and milk from all sources dairy products such as cheese and eggs honey raw silk wool and hides and skins period 	Livestock production index opening round bracket 2004 minus sign 2006 equals sign 100 closing round bracket 	unknown	unknown	Food and Agriculture Organization electronic files and web site period 	unknown	
27	FM period AST period CGOV period ZG period M3	Claims on central government opening round bracket IFS line 32AN period period ZK closing round bracket include loans to central government institutions net of deposits period 	Claims on central government opening round bracket annual growth as percent sign of broad money closing round bracket 	unknown	unknown	International Monetary Fund International Financial Statistics and data files period 	unknown	
28	NY period GNP period MKTP period CD	GNI opening round bracket formerly GNP closing round bracket is the sum of value added by all resident producers plus any product taxes opening round bracket less subsidies closing round bracket not included in the valuation of output plus net receipts of primary income opening round bracket compensation of employees and property income closing round bracket from abroad period Data are in current U period S period dollars period 	GNI opening round bracket current US dollar sign closing round bracket 	unknown	unknown	World Bank national accounts data and OECD National Accounts data files period 	unknown	
29	TM period VAL period SERV period CD period WT	Commercial service imports are total service imports minus imports of government services not included elsewhere period International transactions in services are defined by the IMF quotation mark s Balance of Payments Manual opening round bracket 1993 closing round bracket as the economic output of intangible commodities that may be produced transferred and consumed at the same time period Definitions may vary among reporting economies period 	Commercial service imports opening round bracket current US dollar sign closing round bracket 	unknown	unknown	International Monetary Fund Balance of Payments Statistics Yearbook and data files period 	unknown	
30	AG period LND period IRIG period AG period ZS	Agricultural irrigated land refers to agricultural areas purposely provided with water including land irrigated by controlled flooding period 	Agricultural irrigated land opening round bracket percent sign of total agricultural land closing round bracket 	unknown	unknown	Food and Agriculture Organization electronic files and web site period 	unknown	
31	IQ period CPA period PROP period XQ	Property rights and rule minus sign based governance assess the extent to which private economic activity is facilitated by an effective legal system and rule minus sign based governance structure in which property and contract rights are reliably respected and enforced period 	CPIA property rights and rule minus sign based governance rating opening round bracket 1 equals sign low to 6 equals sign high closing round bracket 	unknown	unknown	World Bank Group CPIA database opening round bracket http colon slash slash www period worldbank period org slash ida closing round bracket period 	unknown	
32	EN period CLC period GHGR period MT period CE	GHG net emissions slash removals by LUCF refers to changes in atmospheric levels of all greenhouse gases attributable to forest and land minus sign use change activities including but not limited to opening round bracket 1 closing round bracket emissions and removals of CO2 from decreases or increases in biomass stocks due to forest management logging fuelwood collection etc period semicolon opening round bracket 2 closing round bracket conversion of existing forests and natural grasslands to other land uses semicolon opening round bracket 3 closing round bracket removal of CO2 from the abandonment of formerly managed lands opening round bracket e period g period croplands and pastures closing round bracket semicolon and opening round bracket 4 closing round bracket emissions and removals of CO2 in soil associated with land minus sign use change and management period For Annex minus sign I countries under the UNFCCC these data are drawn from the annual GHG inventories submitted to the UNFCCC by each country semicolon for non minus sign Annex minus sign I countries data are drawn from the most recently submitted National Communication where available period Because of differences in reporting years and methodologies these data are not generally considered comparable across countries period Data are in million metric tons period 	GHG net emissions slash removals by LUCF opening round bracket Mt of CO2 equivalent closing round bracket 	unknown	unknown	United Nations Framework Convention on Climate Change period 	unknown	
33	NY period ADJ period DRES period GN period ZS	Natural resource depletion is the sum of net forest depletion energy depletion and mineral depletion period Net forest depletion is unit resource rents times the excess of roundwood harvest over natural growth period Energy depletion is the ratio of the value of the stock of energy resources to the remaining reserve lifetime opening round bracket capped at 25 years closing round bracket period It covers coal crude oil and natural gas period Mineral depletion is the ratio of the value of the stock of mineral resources to the remaining reserve lifetime opening round bracket capped at 25 years closing round bracket period It covers tin gold lead zinc iron copper nickel silver bauxite and phosphate period 	Adjusted savings colon natural resources depletion opening round bracket percent sign of GNI closing round bracket 	unknown	unknown	World Bank staff estimates based on sources and methods in World Bank quotation mark s quotation mark The Changing Wealth of Nations colon Measuring Sustainable Development in the New Millennium quotation mark opening round bracket 2011 closing round bracket period 	unknown	
34	SE period XPD period TERT period ZS	Expenditure on tertiary education is expressed as a percentage of total general government expenditure on education period General government usually refers to local regional and central governments period 	Expenditure on tertiary education opening round bracket percent sign of government expenditure on education closing round bracket 	unknown	unknown	United Nations Educational Scientific and Cultural Organization opening round bracket UNESCO closing round bracket Institute for Statistics period 	unknown	
35	SH period XPD period OOPC period TO period ZS	Out of pocket expenditure is any direct outlay by households including gratuities and in minus sign kind payments to health practitioners and suppliers of pharmaceuticals therapeutic appliances and other goods and services whose primary intent is to contribute to the restoration or enhancement of the health status of individuals or population groups period It is a part of private health expenditure period 	Out minus sign of minus sign pocket health expenditure opening round bracket percent sign of total expenditure on health closing round bracket 	unknown	unknown	World Health Organization Global Health Expenditure database opening round bracket see http colon slash slash apps period who period int slash nha slash database for the most recent updates closing round bracket period 	unknown	
36	NE period CON period GOVT period KD period ZG	Annual percentage growth of general government final consumption expenditure based on constant local currency period Aggregates are based on constant 2005 U period S period dollars period General government final consumption expenditure opening round bracket general government consumption closing round bracket includes all government current expenditures for purchases of goods and services opening round bracket including compensation of employees closing round bracket period It also includes most expenditures on national defense and security but excludes government military expenditures that are part of government capital formation period 	General government final consumption expenditure opening round bracket annual percent sign growth closing round bracket 	unknown	unknown	World Bank national accounts data and OECD National Accounts data files period 	unknown	
37	TM period VAL period TRAN period ZS period WT	Transport services opening round bracket percent sign of commercial service imports closing round bracket covers all transport services opening round bracket sea air land internal waterway space and pipeline closing round bracket performed by residents of one economy for those of another and involving the carriage of passengers movement of goods opening round bracket freight closing round bracket rental of carriers with crew and related support and auxiliary services period Excluded are freight insurance which is included in insurance services semicolon goods procured in ports by nonresident carriers and repairs of transport equipment which are included in goods semicolon repairs of railway facilities harbors and airfield facilities which are included in construction services semicolon and rental of carriers without crew which is included in other services period 	Transport services opening round bracket percent sign of commercial service imports closing round bracket 	unknown	unknown	International Monetary Fund Balance of Payments Statistics Yearbook and data files period 	unknown	
38	unknown	Expressed in national currency per current international dollar period These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy period The IMF is not a primary source for purchasing power parity opening round bracket PPP closing round bracket data period WEO weights have been created from primary sources and are used solely for purposes of generating country group composites period For primary source information comma please refer to one of the following sources colon the Organization for Economic Cooperation and Development comma the World Bank comma or the Penn World Tables period For further information see Box A2 in the April 2004 World Economic Outlook comma Box 1 period 2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth and Box A period 1 in the May 2000 World Economic Outlook for a summary of the revised PPP minus sign based weights comma and Annex IV of the May 1993 World Economic Outlook period See also Anne Marie Gulde and Marianne Schulze minus sign Ghattas comma Purchasing Power Parity Based Weights for the World Economic Outlook comma in Staff Studies for the World Economic Outlook opening round bracket Washington colon IMF comma December 1993 closing round bracket comma pp period 106 minus sign 23 period 	Implied PPP conversion rate	National currency per current international dollar	unknown	unknown	See notes for colon Gross domestic product comma current prices opening round bracket National currency closing round bracket period 	
39	BX period GSR period TOTL period CD	Exports of goods services and primary income is the sum of goods exports service exports and primary income receipts period Data are in current U period S period dollars period 	Exports of goods services and primary income opening round bracket BoP current US dollar sign closing round bracket 	unknown	unknown	International Monetary Fund Balance of Payments Statistics Yearbook and data files period 	unknown	
40	LP period LPI period TIME period XQ	Data are from Logistics Performance Index surveys conducted by the World Bank in partnership with academic and international institutions and private companies and individuals engaged in international logistics period 2009 round of surveys covered more than 5 000 country assessments by nearly 1 000 international freight forwarders period Respondents evaluate eight markets on six core dimensions on a scale from 1 opening round bracket worst closing round bracket to 5 opening round bracket best closing round bracket period The markets are chosen based on the most important export and import markets of the respondent quotation mark s country random selection and for landlocked countries neighboring countries that connect them with international markets period Details of the survey methodology are in Arvis and others quotation mark Connecting to Compete 2010 colon Trade Logistics in the Global Economy opening round bracket 2010 closing round bracket period Respondents assessed how often the shipments to assessed markets reach the consignee within the scheduled or expected delivery time on a rating ranging from 1 opening round bracket hardly ever closing round bracket to 5 opening round bracket nearly always closing round bracket period Scores are averaged across all respondents period 	Logistics performance index colon Frequency with which shipments reach consignee within scheduled or expected time opening round bracket 1 equals sign low to 5 equals sign high closing round bracket 	unknown	unknown	World Bank and Turku School of Economics Logistic Performance Index Surveys period Data are available online at colon http colon slash slash www period worldbank period org slash lpi period Summary results are published in Arvis and others quotation mark Connecting to Compete colon Trade Logistics in the Global Economy The Logistics Performance Index and Its Indicators report period 	unknown	
41	TX period VAL period MRCH period R3 period ZS	Merchandise exports to developing economies in Latin America and the Caribbean are the sum of merchandise exports from the reporting economy to developing economies in the Latin America and the Caribbean region according to World Bank classification of economies period Data are as a percentage of total merchandise exports by the economy period Data are computed only if at least half of the economies in the partner country group had non minus sign missing data period 	Merchandise exports to developing economies in Latin America ampersands the Caribbean opening round bracket percent sign of total merchandise exports closing round bracket 	unknown	unknown	World Bank staff estimates based data from International Monetary Fund quotation mark s Direction of Trade database period 	unknown	
42	SH period VAC period TTNS period ZS	Newborns protected against tetanus are the percentage of births by women of child minus sign bearing age who are immunized against tetanus period 	Newborns protected against tetanus opening round bracket percent sign closing round bracket 	unknown	unknown	WHO and UNICEF opening round bracket http colon slash slash www period who period int slash immunization slash monitoring surveillance slash en slash closing round bracket period 	unknown	
43	SE period ENR period PRSC period FM period ZS	Gender parity index for gross enrollment ratio in primary and secondary education is the ratio of girls to boys enrolled at primary and secondary levels in public and private schools period 	School enrollment primary and secondary opening round bracket gross closing round bracket gender parity index opening round bracket GPI closing round bracket 	unknown	unknown	United Nations Educational Scientific and Cultural Organization opening round bracket UNESCO closing round bracket Institute for Statistics period 	unknown	
44	IQ period CPA period IRAI period XQ	IDA Resource Allocation Index is obtained by calculating the average score for each cluster and then by averaging those scores period For each of 16 criteria countries are rated on a scale of 1 opening round bracket low closing round bracket to 6 opening round bracket high closing round bracket period 	IDA resource allocation index opening round bracket 1 equals sign low to 6 equals sign high closing round bracket 	unknown	unknown	World Bank Group CPIA database opening round bracket http colon slash slash www period worldbank period org slash ida closing round bracket period 	unknown	
45	SE period PRM period ENRR	Gross enrollment ratio is the ratio of total enrollment regardless of age to the population of the age group that officially corresponds to the level of education shown period Primary education provides children with basic reading writing and mathematics skills along with an elementary understanding of such subjects as history geography natural science social science art and music period 	School enrollment primary opening round bracket percent sign gross closing round bracket 	unknown	unknown	United Nations Educational Scientific and Cultural Organization opening round bracket UNESCO closing round bracket Institute for Statistics period 	unknown	
46	IP period TMK period TOTL	Trademark applications filed are applications to register a trademark with a national or regional Intellectual Property opening round bracket IP closing round bracket office period A trademark is a distinctive sign which identifies certain goods or services as those produced or provided by a specific person or enterprise period A trademark provides protection to the owner of the mark by ensuring the exclusive right to use it to identify goods or services or to authorize another to use it in return for payment period The period of protection varies but a trademark can be renewed indefinitely beyond the time limit on payment of additional fees period 	Trademark applications total	unknown	unknown	World Intellectual Property Organization opening round bracket WIPO closing round bracket World Intellectual Property Indicators and www period wipo period int slash econ stat period The International Bureau of WIPO assumes no responsibility with respect to the transformation of these data period 	unknown	
47	DT period NFL period BLAT period CD	Bilateral debt includes loans from governments and their agencies opening round bracket including central banks closing round bracket loans from autonomous bodies and direct loans from official export credit agencies period Net flows opening round bracket or net lending or net disbursements closing round bracket received by the borrower during the year are disbursements minus principal repayments period Data are in current U period S period dollars period 	Net financial flows bilateral opening round bracket NFL current US dollar sign closing round bracket 	unknown	unknown	World Bank International Debt Statistics period 	unknown	
48	SP period UWT period TFRT	Unmet need for contraception is the percentage of fertile married women of reproductive age who do not want to become pregnant and are not using contraception period 	Unmet need for contraception opening round bracket percent sign of married women ages 15 minus sign 49 closing round bracket 	unknown	unknown	Household surveys including Demographic and Health Surveys and Multiple Indicator Cluster Surveys period Largely compiled by United Nations Population Division period 	unknown	
49	BN period CAB period XOKA period CD	Current account balance is the sum of net exports of goods and services net primary income and net secondary income period Data are in current U period S period dollars period 	Current account balance opening round bracket BoP current US dollar sign closing round bracket 	unknown	unknown	International Monetary Fund Balance of Payments Statistics Yearbook and data files period 	unknown	
50	IQ period CPA period FINQ period XQ	Quality of budgetary and financial management assesses the extent to which there is a comprehensive and credible budget linked to policy priorities effective financial management systems and timely and accurate accounting and fiscal reporting including timely and audited public accounts period 	CPIA quality of budgetary and financial management rating opening round bracket 1 equals sign low to 6 equals sign high closing round bracket 	unknown	unknown	World Bank Group CPIA database opening round bracket http colon slash slash www period worldbank period org slash ida closing round bracket period 	unknown	
51	SP period ADO period TFRT	Adolescent fertility rate is the number of births per 1 000 women ages 15 minus sign 19 period 	Adolescent fertility rate opening round bracket births per 1 000 women ages 15 minus sign 19 closing round bracket 	unknown	unknown	United Nations Population Division World Population Prospects period 	unknown	
52	DT period TDS period PNGB period CD	Nonguaranteed long minus sign term debt from bonds that are privately placed period Debt service payments are the sum of principal repayments and interest payments actually made in the year specified period Data are in current U period S period dollars period 	PNG bonds opening round bracket TDS current US dollar sign closing round bracket 	unknown	unknown	World Bank International Debt Statistics period 	unknown	
53	SP period RUR period TOTL	Rural population refers to people living in rural areas as defined by national statistical offices period It is calculated as the difference between total population and urban population period Aggregation of urban and rural population may not add up to total population because of different country coverages period 	Rural population	unknown	unknown	The data on urban population shares used to estimate rural population come from the United Nations World Urbanization Prospects period Total population figures are World Bank estimates period 	unknown	
54	NV period AGR period TOTL period CD	Agriculture corresponds to ISIC divisions 1 minus sign 5 and includes forestry hunting and fishing as well as cultivation of crops and livestock production period Value added is the net output of a sector after adding up all outputs and subtracting intermediate inputs period It is calculated without making deductions for depreciation of fabricated assets or depletion and degradation of natural resources period The origin of value added is determined by the International Standard Industrial Classification opening round bracket ISIC closing round bracket revision 3 period Data are in current U period S period dollars period 	Agriculture value added opening round bracket current US dollar sign closing round bracket 	unknown	unknown	World Bank national accounts data and OECD National Accounts data files period 	unknown	
55	SL period TLF period CACT period NE period ZS	Labor force participation rate is the proportion of the population ages 15 and older that is economically active colon all people who supply labor for the production of goods and services during a specified period period 	Labor force participation rate total opening round bracket percent sign of total population ages 15 closing round bracket opening round bracket national estimate closing round bracket 	unknown	unknown	International Labour Organization Key Indicators of the Labour Market database period 	unknown	
56	SG period GEN period LSOM period ZS	Female legislators senior officials and managers opening round bracket percent sign of total closing round bracket refers to the share of legislators senior officials and managers who are female period 	Female legislators senior officials and managers opening round bracket percent sign of total closing round bracket 	unknown	unknown	ILO Key Indicators of the Labour Market opening round bracket KILM closing round bracket period 	unknown	
57	SI period SPR period PC40 period ZG	The growth rate in the welfare aggregate of the bottom 40 percent sign is computed as the annualized average growth rate in per capita real consumption or income of the bottom 40 percent sign of the population in the income distribution in a country from household surveys over a roughly 5 minus sign year period period Mean per capita real consumption or income is measured at 2011 and 2005 Purchasing Power Parity opening round bracket PPP closing round bracket using the PovcalNet opening round bracket http colon slash slash iresearch period worldbank period org slash PovcalNet closing round bracket period For some countries means are not reported due to grouped and slash or confidential data period The annualized growth rate is computed as opening round bracket Mean in final year slash Mean in initial year closing round bracket caret opening round bracket 1 slash opening round bracket Final year minus sign Initial year closing round bracket closing round bracket minus sign 1 period The reference year is the year in which the underlying household survey data was collected and period In cases where the data collection period bridged two calendar years the year in which most of the data was collected is reported period The final year refers to the most recent survey available between 2010 and 2014 period The initial year refers to the nearest survey collected 5 years before the most recent survey available only surveys collected between 3 and 7 years before the most recent survey are considered period Growth rates for four countries Bangladesh Cambodia Jordan and Lao PDR minus sign minus sign are based on survey means of 2005 PPP dollar sign period This is due to the large deviations in the rate of change in PPP factors relative to the rate of change in domestic consumer price indexes period See Box 1 period 1 in the Global Monitoring Report 2015 slash 2016 opening round bracket http colon slash slash www period worldbank period org slash en slash publication slash global minus sign monitoring minus sign report closing round bracket for a detailed explanation period 	Annualized growth in survey mean consumption or income per capita bottom 40 percent sign opening round bracket percent sign closing round bracket 	unknown	unknown	World Bank Global Database of Shared Prosperity opening round bracket GDSP closing round bracket circa 2007 minus sign 2012 opening round bracket http colon slash slash www period worldbank period org slash en slash topic slash poverty slash brief slash global minus sign database minus sign of minus sign shared minus sign prosperity closing round bracket period 	unknown	
58	DT period NFL period IMFC period CD	Net financial flows received by the borrower during the year are disbursements of loans and credits less repayments of principal period IMF is the International Monetary Fund which provides concessional lending through its Extended Credit Facility Standby Credit Facility and Rapid Credit Facility period Data are in current U period S period dollars period 	Net financial flows IMF concessional opening round bracket NFL current US dollar sign closing round bracket 	unknown	unknown	World Bank International Debt Statistics period 	unknown	
59	ER period GDP period FWTL period M3 period KD	Water productivity is calculated as GDP in constant prices divided by annual total water withdrawal period 	Water productivity total opening round bracket constant 2005 US dollar sign GDP per cubic meter of total freshwater withdrawal closing round bracket 	unknown	unknown	Food and Agriculture Organization AQUASTAT data and World Bank and OECD GDP estimates period 	unknown	
